21	25585656	25607517
21	25585656	25607517
21	25592812	25607484
21	25639272	25714573
21	25639272	25717562
21	25639282	25717552
21	25716503	25735027
21	25724480	25734904
21	25724480	25734972
21	25724480	25735033
21	25724480	25735639
21	25724480	25735646
21	25724480	25735673
21	25734570	25772460
21	25735384	25772460
21	25880550	26170654
21	25880550	26170747
21	25880550	26170767
21	25880550	26170787
21	25880551	26171128
21	25881331	26140460
21	25881332	26170654
21	25881610	26170667
21	25945524	26090061
21	25975190	26051032
22	24952730	25194457
22	25069969	25197448
22	25111842	25197399
22	25027974	25197444
22	25199858	25207359
22	25199873	25207267
22	25212564	25231870
22	25219639	25231869
22	25351421	25362557
22	25351421	25381577
22	25564675	25729294
22	25564912	25723018
22	25742144	26027766
22	25742153	26031041
22	25742234	26030644
22	25955315	26030645
